	ID1	ID2	d_radians
5594	59.0	187.0	0.0556887646913
23604	382.0	505.0	0.0557101962616
21211	307.0	360.0	0.0557629688416
10139	115.0	333.0	0.055892341978
20685	294.0	425.0	0.0561660100347
106	1.0	489.0	0.0565571754587
2504	25.0	215.0	0.0565771440405
22903	357.0	367.0	0.0567974796632
8092	89.0	436.0	0.0568159600697
1316	13.0	386.0	0.0570962330088
16041	201.0	388.0	0.0571273369551
23538	380.0	472.0	0.0574030873315
15796	198.0	270.0	0.0576896744076
19119	258.0	294.0	0.057761102288
23994	399.0	415.0	0.0579162691599
25195	475.0	498.0	0.0582204525756
10440	119.0	169.0	0.0582469881761
18314	241.0	334.0	0.0582910382615
22702	349.0	508.0	0.0583016672361
19736	270.0	504.0	0.0584771658688
23979	398.0	490.0	0.0585478881323
19448	264.0	455.0	0.0586753778701
2217	23.0	36.0	0.0587326058816
1759	18.0	320.0	0.0587345575127
1675	18.0	24.0	0.058738266146
10806	123.0	459.0	0.05916618655
565	6.0	168.0	0.0592356031843
14642	179.0	435.0	0.0592483901807
11055	126.0	410.0	0.0595417659079
3920	40.0	182.0	0.0602729132691
2882	28.0	516.0	0.0605438991572
12858	151.0	391.0	0.0610795840055
7402	80.0	153.0	0.0612392886108
8848	99.0	163.0	0.0613244664783
2404	24.0	320.0	0.0615130104209
646	7.0	130.0	0.0616145331096
19393	263.0	454.0	0.0617001497335
4576	46.0	489.0	0.0621146258579
18698	248.0	410.0	0.0623062569245
8191	91.0	110.0	0.0631166039625
25010	456.0	483.0	0.06333415907
1584	16.0	313.0	0.0634125340848
19569	267.0	311.0	0.0637610474254
9114	102.0	271.0	0.0638082362529
19760	271.0	406.0	0.0638314242248
3385	34.0	175.0	0.0645203215065
23862	392.0	516.0	0.0645686038995
15085	186.0	333.0	0.0646599990207
6185	66.0	380.0	0.0650485282703
16014	201.0	244.0	0.0653380900154
6996	76.0	314.0	0.0654473707102
6963	76.0	189.0	0.0657975649177
12297	143.0	201.0	0.0659655234534
4879	50.0	430.0	0.0659901850742
10216	116.0	215.0	0.0665305604392
21158	305.0	454.0	0.0671100159303
15893	199.0	341.0	0.0672308832515
5356	56.0	446.0	0.0675679694365
18209	239.0	399.0	0.0677918621173
3580	36.0	451.0	0.0681994952483
5862	62.0	404.0	0.0682288397289
19187	259.0	358.0	0.0684788401104
4969	52.0	101.0	0.068638625152
4748	49.0	106.0	0.0686413539029
22976	358.0	504.0	0.0686729612408
7982	88.0	268.0	0.0689086618532
4237	43.0	249.0	0.0690098783425
14722	180.0	436.0	0.0692308415707
1304	13.0	342.0	0.069343903672
20714	295.0	400.0	0.0696190146514
22651	347.0	461.0	0.0699178720916
2322	23.0	496.0	0.0699559308676
15716	196.0	450.0	0.0702314830668
23519	380.0	426.0	0.0705997414206
16953	217.0	253.0	0.0706700633387
2492	25.0	182.0	0.0710817729682
18175	238.0	517.0	0.0711447737982
18590	246.0	433.0	0.0712502887507
7222	78.0	305.0	0.0712507179845
3891	40.0	84.0	0.0713080230483
5151	54.0	248.0	0.0714320654251
6580	71.0	328.0	0.0715821990798
13782	165.0	432.0	0.0717145719039
14685	180.0	278.0	0.0717661755704
11786	135.0	478.0	0.0718470297589
6464	70.0	131.0	0.0718606579368
15228	188.0	424.0	0.0718608466562
20062	278.0	451.0	0.0718982068319
20664	294.0	342.0	0.0720691658619
5800	61.0	507.0	0.0720710055801
12082	140.0	324.0	0.0720908907437
2076	21.0	212.0	0.0724807699061
371	4.0	212.0	0.0724861726488
19395	263.0	459.0	0.0729897987639
5125	54.0	126.0	0.0730166087433
11661	134.0	242.0	0.0730494305219
25362	504.0	516.0	0.0731051726684
15114	186.0	452.0	0.0731497757917
11266	129.0	253.0	0.0732282829618
11873	137.0	154.0	0.0732430345621
2305	23.0	436.0	0.0732829633246
3777	38.0	427.0	0.0734754760896
24285	413.0	494.0	0.0737416821026
8348	93.0	270.0	0.0739408879122
13174	155.0	482.0	0.0739871660215
1678	18.0	30.0	0.0740377269077
1673	18.0	20.0	0.0740464512579
10932	125.0	259.0	0.0741476195882
4350	44.0	345.0	0.0744496242819
11809	136.0	209.0	0.0744533813238
1709	18.0	133.0	0.0745138190473
19657	269.0	346.0	0.0745500941078
8538	95.0	305.0	0.0745816619161
18410	242.0	497.0	0.0745891629635
9119	102.0	292.0	0.0750187149665
20604	292.0	406.0	0.0750194148313
764	8.0	156.0	0.0750485280442
19824	273.0	321.0	0.0750723353462
6637	72.0	93.0	0.0753691124415
8111	89.0	497.0	0.0753767964303
10204	116.0	182.0	0.0756256792595
1599	16.0	401.0	0.0756268405423
22830	354.0	430.0	0.075659631693
7280	79.0	112.0	0.0758194261048
15275	189.0	334.0	0.0758317850106
2617	26.0	300.0	0.0760349102584
3192	32.0	75.0	0.0761239230825
15799	198.0	301.0	0.0761619008109
3248	32.0	491.0	0.0761781341393
21474	314.0	334.0	0.0761840996596
18469	244.0	335.0	0.0762710619812
22252	335.0	336.0	0.0763205185656
10394	118.0	318.0	0.0764502917441
7310	79.0	200.0	0.0765357183466
16965	217.0	310.0	0.0765664690333
1863	19.0	370.0	0.0767048936351
308	4.0	11.0	0.0769817687539
1019	11.0	21.0	0.0769890876516
15939	200.0	217.0	0.077018188992
18937	253.0	455.0	0.07761498764
11020	126.0	248.0	0.0776678292142
21665	319.0	461.0	0.0783188830917
1540	16.0	47.0	0.0786344715072
1553	16.0	150.0	0.0786386302491
4640	47.0	401.0	0.0788870558321
12793	150.0	401.0	0.0788914573845
11037	126.0	323.0	0.0790026715953
3505	36.0	89.0	0.0790419980192
7927	87.0	237.0	0.0790879050411
891	9.0	477.0	0.0790957120535
144	2.0	160.0	0.0791245049272
5771	61.0	285.0	0.0791592229116
8786	98.0	304.0	0.0793041945117
1921	20.0	133.0	0.0796966179378
3013	30.0	133.0	0.0797075021662
11228	128.0	505.0	0.0800270360364
7572	82.0	456.0	0.0800346213033
25065	461.0	492.0	0.0801180689078
3939	40.0	241.0	0.080246686023
3616	37.0	119.0	0.0803897168232
23309	371.0	486.0	0.0804546059061
9866	112.0	253.0	0.0805973966174
7769	85.0	284.0	0.081176237175
16544	210.0	367.0	0.0812010117592
22655	347.0	492.0	0.0812251555333
14989	184.0	459.0	0.0812858746589
22711	350.0	405.0	0.0813150208464
10429	119.0	136.0	0.0814920831254
6231	67.0	91.0	0.0816660966869
23019	360.0	487.0	0.0817686039408
6210	66.0	472.0	0.0818847864568
6693	72.0	358.0	0.0821056010105
2899	29.0	126.0	0.0822412887549
9037	101.0	209.0	0.0822994178309
9687	109.0	407.0	0.0825759542684
9688	109.0	408.0	0.0826012395111
3380	34.0	159.0	0.082654282785
19550	266.0	423.0	0.0830556428362
10551	120.0	366.0	0.0831628770536
18680	248.0	323.0	0.0831726158789
14493	176.0	516.0	0.0832160647084
16459	209.0	240.0	0.083340770697
25080	463.0	474.0	0.0836891116631
9726	110.0	254.0	0.0837618644376
2182	22.0	292.0	0.0838132394132
8436	94.0	276.0	0.0839788039526
14491	176.0	504.0	0.0842029633844
18005	235.0	487.0	0.084280239881
5372	57.0	126.0	0.0845163425655
7334	79.0	305.0	0.0847015430152
2311	23.0	451.0	0.0853898407595
6227	67.0	74.0	0.0857846017128
9856	112.0	217.0	0.0859187381896
8509	95.0	184.0	0.0859956679568
21267	308.0	413.0	0.0862442485228
11343	130.0	248.0	0.0862733657461
20150	280.0	354.0	0.0866580456002
5425	57.0	363.0	0.0867502781303
15949	200.0	253.0	0.0871246883193
8771	98.0	236.0	0.0872862941427
24436	422.0	466.0	0.087425592584
1887	19.0	486.0	0.0874868724743
7752	85.0	161.0	0.0875041261642
8351	93.0	301.0	0.0877090176713
251	3.0	111.0	0.0877217333095
14429	176.0	259.0	0.0878583753367
5039	52.0	393.0	0.087909096863
1873	19.0	403.0	0.0879857876984
17049	218.0	469.0	0.0881356880626
12965	153.0	154.0	0.0881707956532
17373	224.0	374.0	0.0884510398859
3180	31.0	507.0	0.0884926813274
5794	61.0	470.0	0.0885385721884
1890	19.0	512.0	0.0887558363502
846	9.0	144.0	0.0888525047961
8609	96.0	243.0	0.0889117173458
8057	89.0	278.0	0.0889617942045
25294	490.0	511.0	0.0889811670673
571	6.0	205.0	0.0891247845228
19511	265.0	492.0	0.0893000684132
12889	152.0	212.0	0.0897539131651
5410	57.0	304.0	0.0899881039469
6176	66.0	327.0	0.0900078201175
7165	78.0	112.0	0.0900443776319
19195	259.0	399.0	0.0901473449451
7252	78.0	455.0	0.0905683249827
17973	235.0	261.0	0.0907610743548
2809	28.0	238.0	0.0908085770798
13570	162.0	299.0	0.0908950915751
8564	95.0	421.0	0.0909335023873
12330	143.0	335.0	0.0909342171202
15924	199.0	474.0	0.0909642513879
21582	317.0	400.0	0.0910594228403
5018	52.0	289.0	0.0911158096088
14394	175.0	391.0	0.0911788001387
8988	100.0	443.0	0.0912005074954
2245	23.0	180.0	0.0913222378744
12606	147.0	403.0	0.0913504673856
20073	278.0	496.0	0.0915181329784
8849	99.0	173.0	0.0916289187455
13005	153.0	319.0	0.0917941586862
5698	60.0	283.0	0.0918114112211
24325	415.0	474.0	0.0918726909595
18231	239.0	474.0	0.0919420834154
9730	110.0	269.0	0.0925271175841
24703	436.0	451.0	0.0931361813797
20450	288.0	348.0	0.0932400274666
3324	33.0	426.0	0.093274799696
8808	98.0	411.0	0.0932875320617
7153	78.0	79.0	0.0934274872913
20241	282.0	420.0	0.0934579031636
3441	35.0	81.0	0.0937898877435
6834	74.0	269.0	0.0938892575935
8791	98.0	324.0	0.0939559821893
4387	45.0	93.0	0.0940312699794
12098	140.0	411.0	0.0941346358622
10143	115.0	341.0	0.0941676622253
21938	326.0	503.0	0.0942501723472
3024	30.0	186.0	0.094264227795
1932	20.0	186.0	0.0942753660633
6504	70.0	383.0	0.0942931922391
21453	313.0	401.0	0.09433344738
24581	429.0	453.0	0.0946752425366
3218	32.0	237.0	0.0947542713906
22258	335.0	388.0	0.094820573528
18447	243.0	485.0	0.0949166965996
18475	244.0	388.0	0.0950283132617
23181	366.0	469.0	0.0950742134297
11858	136.0	445.0	0.0950773151711
20699	295.0	317.0	0.0953467546403
12678	149.0	166.0	0.0953502731523
19695	270.0	358.0	0.0955997893136
21150	305.0	421.0	0.0956492137804
22810	353.0	464.0	0.0958773332491
22547	343.0	464.0	0.0958773332491
15	1.0	46.0	0.0959652179637
2447	24.0	498.0	0.0962434731544
3431	34.0	488.0	0.0963031940362
18201	239.0	358.0	0.0964512017408
12057	140.0	211.0	0.096627429129
11270	129.0	265.0	0.0966761841987
3632	37.0	169.0	0.0966943095419
11278	129.0	310.0	0.096890142347
604	6.0	379.0	0.0969341750162
15543	194.0	215.0	0.09699176786
966	10.0	300.0	0.097012202056
4426	45.0	270.0	0.09714104551
2229	23.0	89.0	0.0972296317148
14423	176.0	238.0	0.0972450566122
23875	393.0	482.0	0.0973786451238
13722	164.0	348.0	0.0976251766428
19985	277.0	342.0	0.0976762999863
3424	34.0	404.0	0.097682503773
7403	80.0	154.0	0.0979018495308
22735	351.0	408.0	0.0980038144096
4817	50.0	69.0	0.0980280742407
22734	351.0	407.0	0.0980292352855
5944	64.0	100.0	0.098184047603
9570	108.0	173.0	0.0983710054807
24842	443.0	498.0	0.0984203963679
10315	117.0	328.0	0.0984259901437
1975	20.0	341.0	0.098602906058
3067	30.0	341.0	0.0986137035333
11444	131.0	383.0	0.098798128694
2793	28.0	176.0	0.0988372635665
3706	38.0	45.0	0.0988544506405
645	7.0	126.0	0.0989211435514
6300	68.0	126.0	0.0990580633715
15510	193.0	412.0	0.0990871508623
10960	125.0	399.0	0.0991266692886
2843	28.0	392.0	0.0995235985784
8531	95.0	263.0	0.0995312455023
12285	143.0	164.0	0.100175712949
13038	153.0	499.0	0.100224773277
1936	20.0	199.0	0.100307102128
3028	30.0	199.0	0.100326371412
15811	198.0	358.0	0.100336699707
24010	399.0	463.0	0.100631725415
13009	153.0	347.0	0.100713871011
19300	261.0	487.0	0.100810462699
6194	66.0	426.0	0.101294202167
24552	427.0	516.0	0.101396522337
24408	421.0	459.0	0.101486049931
12063	140.0	236.0	0.101636404928
6041	64.0	498.0	0.101713745195
13510	161.0	284.0	0.101757632085
3900	40.0	116.0	0.101886050197
22048	329.0	412.0	0.101988465578
15852	198.0	504.0	0.102066400416
12623	147.0	512.0	0.102149939219
3116	31.0	61.0	0.102575907786
203	2.0	434.0	0.102691851282
20383	286.0	372.0	0.102698087131
24691	435.0	496.0	0.102763453406
15824	198.0	427.0	0.103007670427
13110	154.0	499.0	0.103495146162
10962	125.0	415.0	0.103505728134
2455	25.0	40.0	0.103610056175
12336	143.0	388.0	0.103643172044
18276	240.0	393.0	0.10386398374
20715	295.0	401.0	0.10389685691
7804	85.0	493.0	0.103913215856
20958	301.0	415.0	0.103969938813
5552	58.0	421.0	0.103973471398
15462	192.0	457.0	0.104074812406
15089	186.0	341.0	0.104183771223
19053	256.0	353.0	0.104184817698
19051	256.0	343.0	0.104184817698
10910	125.0	176.0	0.10447709567
4068	41.0	501.0	0.104497542809
15885	199.0	320.0	0.104558810877
10915	125.0	199.0	0.104668773773
3297	33.0	279.0	0.104759066781
1892	20.0	24.0	0.104939230708
